no,city,gugun,companyname,industrycode,industryname,checkdate,checkdetail,address
135,서울특별시,성북구,월곡윤활유급유소,22,폐수배출업소관리,20150529,폐수배출시설 및 방지시설 정상가동 여부,서울특별시 성북구 화랑로 160 (상월곡동)
136,서울특별시,성북구,SK글로벌(주)한천로주유소,22,폐수배출업소관리,20150529,폐수배출시설 및 방지시설 정상가동 여부,서울특별시 성북구 한천로 727  (장위동)
137,서울특별시,성북구,고려대학교(세차),22,폐수배출업소관리,20150327,폐수배출시설 및 방지시설 운영상태,
138,서울특별시,성북구,고려대학교,22,폐수배출업소관리,20150327,폐수배출시설 및 방지시설 운영상태,
139,서울특별시,성북구,성북주유소,22,폐수배출업소관리,20150327,폐수배출시설 및 방지시설 운영상태,서울특별시 성북구 보문로 142 (보문동1가)
140,서울특별시,성북구,보문윤활유급유소,22,폐수배출업소관리,20150327,폐수배출시설 및 방지시설 운영상태,
141,서울특별시,성북구,국민대학교,22,폐수배출업소관리,20150325,폐수배출시설 위탁처리 적정여부,서울특별시 성북구 정릉로 77  (정릉동국민대학교)
142,서울특별시,성북구,서경대학교,22,폐수배출업소관리,20150325,폐수배출시설 위탁처리 적정여부,
143,서울특별시,성북구,영은사,22,폐수배출업소관리,20150325,폐수배출시설 위탁처리 적정여부,
144,서울특별시,성북구,세창주유소,22,,20150226,폐수배출시설 및 방지시설 정상가동 여부 등,서울특별시 성북구 동소문로47길 8 (길음동)
145,서울특별시,성북구,한국과학기술연구원,22,,20150211,배출업소 및 방지시설 적정 운영여부,
146,서울특별시,성북구,고려대학교,22,,20150211,폐수 배출시설 및 방지시설 적정운영여부,
147,서울특별시,성북구,상진운수(주),22,폐수배출업소관리,20141229,폐수 배출시설 및 방지시설 적정운영여부,
148,서울특별시,성북구,상진운수(주),21,대기배출업소관리,20141229,대기 배출시설 및 방지시설 적정운영여부,서울특별시 성북구 한천로76길 42  (석관동)
149,서울특별시,성북구,고려대학교,22,폐수배출업소관리,20141210,폐수 배출시설 및 방지시설 적정운영여부,
150,서울특별시,성북구,(주)온누리모터스,21,대기배출업소관리,20141210,대기 배출시설 및 방지시설 적정운영여부,서울특별시 성북구 보문로 41 (보문동7가)
151,서울특별시,성북구,고려대학교보건과학대학,22,폐수배출업소관리,20141107,배출시설 및 방지시설 적정운영여부,
152,서울특별시,성북구,의료법인 서광의료재단 성북중앙병원,22,폐수배출업소관리,20141031,배출업소 및 방지시설 적정 운영여부,서울특별시 성북구 종암로 72 (종암동 성북중앙병원)
153,서울특별시,성북구,성가복지병원,22,폐수배출업소관리,20141031,배출업소 및 방지시설 적정 운영여부,서울특별시 성북구 종암로 191 (하월곡동성가복지병원)
154,서울특별시,성북구,고려대학교 의과대학 부속병원,22,폐수배출업소관리,20141028,배출업소 및 방지시설 적정 운영여부,
155,서울특별시,성북구,한국과학기술연구원,22,폐수배출업소관리,20141028,배출업소 및 방지시설 적정 운영여부,
156,서울특별시,성북구,그린자동차공업사,22,폐수배출업소관리,20141027,배출업소 및 방지시설 적정 운영여부,서울특별시 성북구 장월로6길 31-11 (장위동)
157,서울특별시,성북구,성북소방서세차장,22,폐수배출업소관리,20141027,배출업소 및 방지시설 적정 운영여부,
158,서울특별시,성북구,보성세차장,22,폐수배출업소관리,20141027,배출업소 및 방지시설 적정 운영여부,서울특별시 성북구 성북로 76-8 (성북동)
159,서울특별시,성북구,정현카세차장,22,폐수배출업소관리,20141008,배출업소 및 방지시설 적정 운영여부,
160,서울특별시,성북구,청백세차장,22,폐수배출업소관리,20141008,배출업소 및 방지시설 적정 운영여부,서울특별시 성북구 돌곶이로 197-3  (장위동)
161,서울특별시,성북구,대진여객(주),21,대기배출업소관리,20141006,배출업소 및 방지시설 적정 운영여부,
162,서울특별시,성북구,도원교통(주),21,대기배출업소관리,20141006,배출업소 및 방지시설 적정 운영여부,
163,서울특별시,성북구,삼우자동차서비스,21,대기배출업소관리,20141002,배출업소 및 방지시설 적정 운영여부,서울특별시 성북구 창경궁로 316  (삼선동1가)
164,서울특별시,성북구,(주)온누리모터스,21,대기배출업소관리,20141002,배출업소 및 방지시설 적정 운영여부,서울특별시 성북구 보문로 41 (보문동7가)
165,서울특별시,성북구,고려대학교,22,폐수배출업소관리,20140904,폐수 배출시설 및 방지시설 적정여부,
166,서울특별시,성북구,도원교통(주),22,폐수배출업소관리,20140806,배출시설 및 방지시설 적정운영여부,서울특별시 성북구 정릉로10길 17 (정릉동)
167,서울특별시,성북구,대왕기업(주),22,폐수배출업소관리,20140806,배출시설 및 방지시설 적정운영여부,서울특별시 성북구 보국문로 67 (정릉동)
168,서울특별시,성북구,을지운수(주),22,폐수배출업소관리,20140806,배출시설 및 방지시설 적정운영여부,
169,서울특별시,성북구,대진여객(주),22,폐수배출업소관리,20140806,배출시설 및 방지시설 적정운영여부,서울특별시 성북구 보국문로 204 (정릉동 대진여객)
170,서울특별시,성북구,대진여객(주),22,폐수배출업소관리,20140713,공휴일 취약시기 특별점검,서울특별시 성북구 보국문로 204 (정릉동 대진여객)
171,서울특별시,성북구,상진운수(주),22,폐수배출업소관리,20140713,공휴일 취약시기 특별점검,
172,서울특별시,성북구,도원교통(주),22,폐수배출업소관리,20140713,공휴일 취약시기 특별점검,서울특별시 성북구 정릉로10길 17 (정릉동)
173,서울특별시,성북구,(주)아띠모,22,폐수배출업소관리,20140612,개선명령 이행완료 확인,서울특별시 성북구 보문로29길 60  (삼선동5가)
174,서울특별시,성북구,청수세차장,22,폐수배출업소관리,20140528,폐수 배출시설 및 방지시설 적정운영여부,
175,서울특별시,성북구,고려대학교보건과학대학,22,폐수배출업소관리,20140528,폐수 배출시설 및 방지시설 적정운영여부,
